,username,email,password,cpassword
0,kalana12,kalana@gmail.com,1234,1234
1,gayan12,gayan@gmail.com,1234,1234
2,kumara32,kumara@gmail.com,1234,1234
3,nayana12,nayana@gmail.com,1234,1234
4,gamishka12,gamishka@gmail.com,1234,123
5,chamidu22,chamidu@gmail.com,1234,1234
6,harsha23,harsha@gmail.com,1234,1234
7,sandun22,sandun@gmail.com,1234,1234
8,kalana,kalana,12,12
9,janaka,janaka,12,12
10,kumara12,kumara@gmail.com,1234,1234
11,kalana12,kalana@gmail.com,1234,1234
12,harsha67,harsha@gmail.com,5678,5678
13,namal12,namal@gmail.com,12,12
14,gayan12,gayan@gmail.com,1234,1234
15,wasana12,wasana@gmail.com,1234,1234
16,sanjeewa22,sanjeewa@gmail.com,12,12
