username,email,password,cpassword
kalana12,kalana@gmail.com,1234,1234
gayan12,gayan@gmail.com,1234,1234
kumara32,kumara@gmail.com,1234,1234
nayana12,nayana@gmail.com,1234,1234

gamishka12,gamishka@gmail.com,1234,123
chamidu22,chamidu@gmail.com,1234,1234
harsha23,harsha@gmail.com,1234,1234
sandun22,sandun@gmail.com,1234,1234
kalana,kalana,12,12
janaka,janaka,12,12
kumara12,kumara@gmail.com,1234,1234
kalana12,kalana@gmail.com,1234,1234
harsha67,harsha@gmail.com,5678,5678
namal12,namal@gmail.com,12,12
gayan12,gayan@gmail.com,1234,1234
wasana12,wasana@gmail.com,1234,1234
sanjeewa22,sanjeewa@gmail.com,12,12
